address	name	area	provenance	source	profile	detail	object	object_symbol	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations
0x00190700	compress2	zlib	snesticle-zlib	Gep/Source/common/zlib/compress.c	default-os	9590ebf3bf768424ebd6cb018f322e724a7aade3	build/matching/progress55-300plus-sweep2/objects/snesticle-zlib__compress.c__compress.c__default-os.o	compress2	204	exact-next-boundary	MATCH	0	False	True	
0x001907e8	uncompress	zlib	snesticle-zlib	Gep/Source/common/zlib/uncompr.c	default-os	9590ebf3bf768424ebd6cb018f322e724a7aade3	build/matching/progress55-300plus-sweep2/objects/snesticle-zlib__uncompr.c__uncompr.c__default-os.o	uncompress	212	exact-next-boundary	MATCH	0	False	True	
0x00194628	inflate_blocks_reset	zlib	snesticle-zlib	Gep/Source/common/zlib/infblock.c	default-os	9590ebf3bf768424ebd6cb018f322e724a7aade3	build/matching/progress55-300plus-sweep2/objects/snesticle-zlib__infblock.c__infblock.c__default-os.o	inflate_blocks_reset	192	exact-next-boundary	MATCH	0	False	True	
0x001946e8	inflate_blocks_new	zlib	snesticle-zlib	Gep/Source/common/zlib/infblock.c	default-os	9590ebf3bf768424ebd6cb018f322e724a7aade3	build/matching/progress55-300plus-sweep2/objects/snesticle-zlib__infblock.c__infblock.c__default-os.o	inflate_blocks_new	232	exact-next-boundary	MATCH	0	False	True	
0x00195280	inflate_blocks_free	zlib	snesticle-zlib	Gep/Source/common/zlib/infblock.c	default-snesticle-o2	9590ebf3bf768424ebd6cb018f322e724a7aade3	build/matching/progress55-300plus-sweep2/objects/snesticle-zlib__infblock.c__infblock.c__default-snesticle-o2.o	inflate_blocks_free	104	exact-next-boundary	MATCH	0	False	True	
0x001953ac	inflate_codes	zlib	snesticle-zlib	Gep/Source/common/zlib/infcodes.c	default-os	9590ebf3bf768424ebd6cb018f322e724a7aade3	build/matching/progress55-300plus-sweep2/objects/snesticle-zlib__infcodes.c__infcodes.c__default-os.o	inflate_codes	1892	exact-next-boundary	MATCH	0	False	True	
0x00195b10	inflate_codes_free	zlib	snesticle-zlib	Gep/Source/common/zlib/infcodes.c	default-os	9590ebf3bf768424ebd6cb018f322e724a7aade3	build/matching/progress55-300plus-sweep2/objects/snesticle-zlib__infcodes.c__infcodes.c__default-os.o	inflate_codes_free	44	exact-next-boundary	MATCH	0	True	True	
0x001964d4	inflate_trees_bits	zlib	snesticle-zlib	Gep/Source/common/zlib/inftrees.c	default-snesticle-o2	9590ebf3bf768424ebd6cb018f322e724a7aade3	build/matching/progress55-300plus-sweep2/objects/snesticle-zlib__inftrees.c__inftrees.c__default-snesticle-o2.o	inflate_trees_bits	256	exact-next-boundary	MATCH	0	False	True	
0x001965d4	inflate_trees_dynamic	zlib	snesticle-zlib	Gep/Source/common/zlib/inftrees.c	default-os	9590ebf3bf768424ebd6cb018f322e724a7aade3	build/matching/progress55-300plus-sweep2/objects/snesticle-zlib__inftrees.c__inftrees.c__default-os.o	inflate_trees_dynamic	476	exact-next-boundary	MATCH	0	False	True	
0x001967b0	inflate_trees_fixed	zlib	snesticle-zlib	Gep/Source/common/zlib/inftrees.c	default-os	9590ebf3bf768424ebd6cb018f322e724a7aade3	build/matching/progress55-300plus-sweep2/objects/snesticle-zlib__inftrees.c__inftrees.c__default-os.o	inflate_trees_fixed	56	exact-next-boundary	MATCH	0	False	True	
0x00196a94	pqdownheap	zlib	snesticle-zlib	Gep/Source/common/zlib/trees.c	default-os	9590ebf3bf768424ebd6cb018f322e724a7aade3	build/matching/progress55-300plus-sweep2/objects/snesticle-zlib__trees.c__trees.c__default-os.o	pqdownheap	260	exact-next-boundary	MATCH	0	True	True	
0x00196e80	gen_codes	zlib	snesticle-zlib	Gep/Source/common/zlib/trees.c	default-os	9590ebf3bf768424ebd6cb018f322e724a7aade3	build/matching/progress55-300plus-sweep2/objects/snesticle-zlib__trees.c__trees.c__default-os.o	gen_codes	164	exact-next-boundary	MATCH	0	False	True	
